organ,seq_id,target_name,target_full_name,gene_symbol,entrez_gene_id,hgnc_id,selected_models,model_count,mean_nonzero_coefficient,coefficient_direction,model_family,source_commit
Immune,14133-93,IL-1 sRII,Interleukin-1 receptor type 2,IL1R2,7850,HGNC:5994,500,500,-1.6018719381783537,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Immune,9343-16,IL-2 sRb,Interleukin-2 receptor subunit beta,IL2RB,3560,HGNC:6009,13,500,-0.0654643724379556,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Immune,2634-2,IL-2 sRg,Cytokine receptor common subunit gamma,IL2RG,3561,HGNC:6010,21,500,0.1459255541557351,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Brain,5834-18,IL-9,Interleukin-9,IL9,3578,HGNC:6029,300,500,0.23250253449684347,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Liver,15686-49,INHBC,Inhibin beta C chain,INHBC,3626,HGNC:6068,277,500,0.20038014341021265,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Liver,6408-2,INHBC,Inhibin beta C chain,INHBC,3626,HGNC:6068,500,500,0.9499183823921915,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Pancreas,4883-56,Insulin,Insulin,INS,3630,HGNC:6081,413,500,-0.3634238103423112,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Liver,10663-42,INSI1,Insulin-induced gene 1 protein,INSIG1,3638,HGNC:6083,64,500,-0.012773684688426152,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Intestine,10462-14,INSL5,Insulin-like peptide INSL5,INSL5,10022,HGNC:6088,401,500,0.3299945238291401,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Immune,12750-9,LFA-1 beta-2,Integrin beta-2,ITGB2,3689,HGNC:6155,294,500,-0.2435359875581513,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Kidney,7737-76,ITB6,Integrin beta-6,ITGB6,3694,HGNC:6161,98,500,0.1261876534280721,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Liver,7955-195,ITI heavy chain H1,Inter-alpha-trypsin inhibitor heavy chain H1,ITIH1,3697,HGNC:6166,183,500,-0.1588240898080093,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Liver,9326-33,ITI heavy chain H2,Inter-alpha-trypsin inhibitor heavy chain H2,ITIH2,3698,HGNC:6167,16,500,0.08831582439015763,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Liver,7145-1,ITIH3,Inter-alpha-trypsin inhibitor heavy chain H3,ITIH3,3699,HGNC:6168,500,500,0.9833106004854294,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Liver,4811-33,ITI heavy chain H4,Inter-alpha-trypsin inhibitor heavy chain H4,ITIH4,3700,HGNC:6169,16,500,0.11735491046470148,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Adipose,18830-1,Omentin,Intelectin-1,ITLN1,55600,HGNC:18259,500,500,0.9931417616062755,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Immune,5094-62,JAML1,Junctional adhesion molecule-like,JAML,120425,HGNC:19084,37,500,0.011375461696151227,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Immune,15306-20,IgJ,Immunoglobulin J chain,JCHAIN,3512,HGNC:5713,78,500,0.08671015900369991,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Muscle,6940-18,JPH1,Junctophilin-1,JPH1,56704,HGNC:14201,143,500,0.12409173238866426,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Brain,9089-77,JPH3,Junctophilin-3,JPH3,57338,HGNC:14203,189,500,-0.16569003636366983,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Kidney,19492-5,KAAG1,Kidney-associated antigen 1,KAAG1,353219,HGNC:21031,500,500,-1.0032523751255773,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Brain,8756-41,KCE1L:N-term,"Potassium voltage-gated channel subfamily E regulatory beta subunit 5:N-term, opposite side of membrane",KCNE5,23630,HGNC:6241,232,500,0.1577713809934221,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Brain,8908-14,KCE1L:CD,Potassium voltage-gated channel subfamily E regulatory beta subunit 5:Cytoplasmic domain,KCNE5,23630,HGNC:6241,484,500,0.4708542065937783,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Brain,13650-11,KCIP1,Kv channel-interacting protein 1,KCNIP1,30820,HGNC:15521,63,500,0.054258615680625566,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Brain,13539-131,KCNN1,Small conductance calcium-activated potassium channel protein 1,KCNN1,3780,HGNC:6290,11,500,0.0032464366133381356,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Brain,11145-72,K154L,UPF0606 protein KIAA1549L,KIAA1549L,25758,HGNC:24836,86,500,0.0046544434030040115,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Immune,17200-50,KI2L1,Killer cell immunoglobulin-like receptor 2DL1,KIR2DL1,3802,HGNC:6329,42,500,-0.09681299641629282,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Immune,17153-46,KI2L3,Killer cell immunoglobulin-like receptor 2DL3,KIR2DL3,3804,HGNC:6331,486,500,0.4384508499152249,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Immune,5095-21,KI2L4,Killer cell immunoglobulin-like receptor 2DL4,KIR2DL4,3805,HGNC:6332,165,500,0.1399534411658312,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Immune,17152-10,KI2S4,Killer cell immunoglobulin-like receptor 2DS4,KIR2DS4,3809,HGNC:6336,87,500,0.005896612475371863,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Immune,18907-97,KI3L1,Killer cell immunoglobulin-like receptor 3DL1,KIR3DL1,3811,HGNC:6338,71,500,-0.10734346878016432,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Immune,5096-51,KI3L2,Killer cell immunoglobulin-like receptor 3DL2,KIR3DL2,3812,HGNC:6339,76,500,0.04069737246219405,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Pancreas,16609-106,KIRR2,Kin of IRRE-like protein 2,KIRREL2,84063,HGNC:18816,63,500,-0.11116822804285045,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Brain,4557-61,KIRR3,Kin of IRRE-like protein 3,KIRREL3,84623,HGNC:23204,111,500,0.0938245654042488,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Kidney,15384-15,KLOTHO,Klotho,KL,9365,HGNC:6344,464,500,-0.5494073651821567,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Brain,12656-1,KLC1,Kinesin light chain 1,KLC1,3831,HGNC:6387,96,500,-0.24144424205780987,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Liver,4152-58,Prekallikrein,Plasma kallikrein,KLKB1,3818,HGNC:6371,469,500,-0.46007605536432994,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Immune,5098-79,KLRF1,Killer cell lectin-like receptor subfamily F member 1,KLRF1,51348,HGNC:13342,89,500,-0.028231463597498608,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Intestine,12975-11,Keratin 20,"Keratin, type I cytoskeletal 20",KRT20,54474,HGNC:20412,500,500,1.7430410776551797,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Brain,13986-6,LANC1,LanC-like protein 1,LANCL1,10314,HGNC:6508,491,500,-0.7475988042484744,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Immune,5613-75,NTAL,Linker for activation of T-cells family member 2,LAT2,7462,HGNC:12749,84,500,-0.06701010673755563,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Brain,5643-2,LCN8,Epididymal-specific lipocalin-8,LCN8,138307,HGNC:27038,280,500,-0.2082999470978557,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Immune,17231-1,L-plastin,Plastin-2,LCP1,3936,HGNC:6528,500,500,-0.8208555508490778,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Intestine,9017-58,LPH,Lactase-phlorizin hydrolase,LCT,3938,HGNC:6530,431,500,-0.3741260695574427,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Brain,10890-135,LCTL,Lactase-like protein,LCTL,197021,HGNC:15583,187,500,0.136449672411267,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Liver,5708-1,LEAP2,Liver-expressed antimicrobial peptide 2,LEAP2,116842,HGNC:29571,35,500,0.14385468931963072,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Liver,16763-11,LECT2,Leukocyte cell-derived chemotaxin-2,LECT2,3950,HGNC:6550,95,500,-0.12168911190017376,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Adipose,8484-24,Leptin,Leptin,LEP,3952,HGNC:6553,500,500,-2.235824129121885,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Intestine,2982-82,Galectin-4,Galectin-4,LGALS4,3960,HGNC:6565,305,500,0.24357705617743738,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Brain,8003-57,LGI3,Leucine-rich repeat LGI family member 3,LGI3,203190,HGNC:18711,70,500,-0.03483563315279926,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Immune,15614-168,LIRA2,Leukocyte immunoglobulin-like receptor subfamily A member 2,LILRA2,11027,HGNC:6603,39,500,0.037172022834391014,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Immune,7787-25,LIRA5,Leukocyte immunoglobulin-like receptor subfamily A member 5,LILRA5,353514,HGNC:16309,235,500,-0.21462338310219825,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Immune,8766-29,LIRA5,Leukocyte immunoglobulin-like receptor subfamily A member 5,LILRA5,353514,HGNC:16309,13,500,-0.07564324479722173,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Immune,7059-14,LIRA6,Leukocyte immunoglobulin-like receptor subfamily A member 6,LILRA6,,HGNC:15495,67,500,0.05014022870643405,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Immune,5090-49,ILT-2,Leukocyte immunoglobulin-like receptor subfamily B member 1,LILRB1,10859,HGNC:6605,191,500,0.15808244219399006,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Immune,5091-28,ILT-4,Leukocyte immunoglobulin-like receptor subfamily B member 2,LILRB2,,HGNC:6606,447,500,0.37515909509271667,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Immune,11334-7,LIRB3,Leukocyte immunoglobulin-like receptor subfamily B member 3,LILRB3,102725035,HGNC:6607,108,500,-0.11304896674599717,Negative,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Immune,15615-8,LIRB3,Leukocyte immunoglobulin-like receptor subfamily B member 3,LILRB3,102725035,HGNC:6607,85,500,0.09069888706920488,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Brain,6620-82,LIGO1,Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 1,LINGO1,84894,HGNC:21205,443,500,0.3560075768056922,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
Brain,7200-4,LRFN2,Leucine-rich repeat and fibronectin type-III domain-containing protein 2,LRFN2,57497,HGNC:21226,105,500,0.02636051149950441,Positive,Zprot_stableassayps_perf95,59303fd0dccc191be1ff34bf0bbf5efd8b90387a
